pile_id,road_id,pile_lat,pile_lon,pile_dir,pile_lane,pile_distance,pile_angle,pile_width,pile_prop
149415,1273,25.076864,121.170595,1,1,1700,330,7,
149416,1273,25.077021,121.170497,1,1,1720,331,7,
149417,1273,25.07718,121.170402,1,1,1740,332,7,
149418,1273,25.077339,121.170308,1,1,1760,332,7,
149419,1273,25.077498,121.170214,1,1,1780,332,7,
149420,1273,25.077657,121.17012,1,1,1800,332,7,
149421,1273,25.077812,121.170019,1,1,1820,329,7,
149422,1273,25.077967,121.169917,1,1,1840,329,7,
149423,1273,25.078122,121.169815,1,1,1860,328,7,
149424,1273,25.078274,121.169709,1,1,1880,328,7,
149425,1273,25.078427,121.169604,1,1,1900,328,7,
149426,1273,25.07858,121.169498,1,1,1920,328,7,
149427,1273,25.078733,121.169393,1,1,1940,328,7,
149428,1273,25.078886,121.169288,1,1,1960,329,7,
149429,1273,25.07904,121.169185,1,1,1980,329,7,
149430,1273,25.079195,121.169082,1,1,2000,329,7,
149431,1273,25.079349,121.168979,1,1,2020,329,7,
149432,1273,25.079504,121.168876,1,1,2040,329,7,
149433,1273,25.062906,121.177284,2,1,0,144,7,
149434,1273,25.063054,121.17717,2,1,20,147,7,
149435,1273,25.063206,121.177063,2,1,40,147,7,
149436,1273,25.063358,121.176956,2,1,60,147,7,
149437,1273,25.063509,121.176848,2,1,80,146,7,
149438,1273,25.06366,121.176738,2,1,100,146,7,
149439,1273,25.06381,121.176628,2,1,120,146,7,
149440,1273,25.063962,121.176522,2,1,140,149,7,
149441,1273,25.064116,121.176419,2,1,160,149,7,
149442,1273,25.064271,121.176316,2,1,180,149,7,
149443,1273,25.064425,121.176213,2,1,200,149,7,
149444,1273,25.06458,121.176111,2,1,220,149,7,
149445,1273,25.064737,121.176013,2,1,240,151,7,
149446,1273,25.064896,121.175919,2,1,260,151,7,
149447,1273,25.065054,121.175824,2,1,280,151,7,
149448,1273,25.065214,121.175731,2,1,300,152,7,
149449,1273,25.065373,121.175639,2,1,320,152,7,
149450,1273,25.065533,121.175546,2,1,340,152,7,
149451,1273,25.065693,121.175454,2,1,360,152,7,
149452,1273,25.065853,121.175361,2,1,380,152,7,
149453,1273,25.066013,121.17527,2,1,400,153,7,
149454,1273,25.066173,121.175178,2,1,420,153,7,
149455,1273,25.066333,121.175087,2,1,440,153,7,
149456,1273,25.066494,121.174996,2,1,460,153,7,
149457,1273,25.066656,121.174909,2,1,480,154,7,
149458,1273,25.066819,121.174823,2,1,500,154,7,
149459,1273,25.066981,121.174736,2,1,520,154,7,
149460,1273,25.067144,121.17465,2,1,540,154,7,
149461,1273,25.067308,121.174567,2,1,560,155,7,
149462,1273,25.067472,121.174485,2,1,580,155,7,
149463,1273,25.067636,121.174402,2,1,600,155,7,
149464,1273,25.0678,121.17432,2,1,620,155,7,
149465,1273,25.067964,121.174236,2,1,640,155,7,
149466,1273,25.068127,121.174151,2,1,660,155,7,
149467,1273,25.06829,121.174066,2,1,680,155,7,
149468,1273,25.068456,121.173989,2,1,700,158,7,
149469,1273,25.068624,121.173915,2,1,720,158,7,
149470,1273,25.068792,121.173841,2,1,740,158,7,
149471,1273,25.06896,121.173769,2,1,760,159,7,
149472,1273,25.069131,121.173708,2,1,780,166,7,
149473,1273,25.069306,121.173659,2,1,800,166,7,
149474,1273,25.069481,121.17361,2,1,820,166,7,
149475,1273,25.069657,121.173564,2,1,840,166,7,
149476,1273,25.069832,121.173518,2,1,860,166,7,
149477,1273,25.070008,121.173472,2,1,880,166,7,
149478,1273,25.070184,121.173426,2,1,900,166,7,
149479,1273,25.070359,121.173379,2,1,920,166,7,
149480,1273,25.070535,121.173336,2,1,940,167,7,
149481,1273,25.070712,121.173293,2,1,960,167,7,
149482,1273,25.070888,121.17325,2,1,980,167,7,
149483,1273,25.071064,121.173207,2,1,1000,167,7,
149484,1273,25.071241,121.173165,2,1,1020,168,7,
149485,1273,25.071417,121.173124,2,1,1040,168,7,
149486,1273,25.071594,121.173083,2,1,1060,168,7,
149487,1273,25.071771,121.173042,2,1,1080,168,7,
149488,1273,25.071947,121.173,2,1,1100,164,7,
149489,1273,25.072121,121.172947,2,1,1120,164,7,
149490,1273,25.072295,121.172894,2,1,1140,165,7,
149491,1273,25.072469,121.172842,2,1,1160,165,7,
149492,1273,25.072643,121.172789,2,1,1180,165,7,
149493,1273,25.072818,121.172737,2,1,1200,165,7,
149494,1273,25.072992,121.172685,2,1,1220,165,7,
149495,1273,25.073161,121.172618,2,1,1240,157,7,
149496,1273,25.073327,121.17254,2,1,1260,156,7,
149497,1273,25.073493,121.17246,2,1,1280,156,7,
149498,1273,25.073655,121.172375,2,1,1300,153,7,
149499,1273,25.073816,121.172285,2,1,1320,151,7,
149500,1273,25.073974,121.172188,2,1,1340,151,7,
149501,1273,25.074131,121.172091,2,1,1360,151,7,
149502,1273,25.074289,121.171994,2,1,1380,151,7,
149503,1273,25.074447,121.171899,2,1,1400,152,7,
149504,1273,25.074607,121.171806,2,1,1420,152,7,
149505,1273,25.074766,121.171712,2,1,1440,152,7,
149506,1273,25.074924,121.171617,2,1,1460,151,7,
149507,1273,25.075082,121.171521,2,1,1480,151,7,
149508,1273,25.07524,121.171425,2,1,1500,152,7,
149509,1273,25.0754,121.171332,2,1,1520,152,7,
149510,1273,25.075559,121.17124,2,1,1540,152,7,
149511,1273,25.075719,121.171147,2,1,1560,153,7,
149512,1273,25.075881,121.171058,2,1,1580,153,7,
149513,1273,25.076041,121.170967,2,1,1600,152,7,
149514,1273,25.0762,121.170873,2,1,1620,152,7,
149515,1273,25.076359,121.170779,2,1,1640,152,7,
149516,1273,25.076518,121.170685,2,1,1660,152,7,
149517,1273,25.076675,121.170587,2,1,1680,150,7,
